02/01/2013 10:35 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:40 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources\Entities\Annonce.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:41 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources\Entities\Annonce.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:41 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources\Entities\Annonce.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:41 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources\Entities\Annonce.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:42 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:42 | 7.5 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:42 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:42 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:42 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
