============================================
Creation du log: 03/01/2013 11:31
============================================


03/01/2013 11:31 | 8 mb | Back Office | - >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Privilege.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
03/01/2013 16:20 | 13.75 mb | Back Office | - >> Recoverable Error : FwkErrorHandler 4096 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 367 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:20 | 13.75 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 367 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:20 | 13.75 mb | Back Office | - >> Recoverable Error : FwkErrorHandler 4096 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 367 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:20 | 13.75 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 367 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:23 | 13.75 mb | Back Office | - >> Recoverable Error : FwkErrorHandler 4096 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 367 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:23 | 13.75 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 367 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:24 | 13.75 mb | Back Office | - >> Recoverable Error : FwkErrorHandler 4096 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 368 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:24 | 13.75 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Argument 1 passed to Resources\Entities\TicketRepository::getTypeTicket() must be an instance of Resources\Entities\Ticket, string given, called in C:\wamp\www\AstridV1\lib\Resources\Core\FwkTable.php on line 368 and defined in file C:\wamp\www\AstridV1\lib\Resources\Entities\TicketRepository.php on line 15
03/01/2013 16:55 | 12.25 mb | Back Office | - >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
03/01/2013 17:05 | 8.25 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "DefaultAjax" ne possède pas de méthode qui a pour nom ticketDetailsController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
